timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759767030346,282,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,897,310,7,7,https://fakestoreapi.com/auth/login,282,0,0
1759767030406,300,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,899,316,7,7,https://fakestoreapi.com/auth/login,300,0,0
1759767030555,279,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,894,310,7,7,https://fakestoreapi.com/auth/login,279,0,0
1759767030655,289,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,896,312,7,7,https://fakestoreapi.com/auth/login,289,0,0
1759767030660,292,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,897,310,7,7,https://fakestoreapi.com/auth/login,292,0,0
1759767030673,306,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,899,316,7,7,https://fakestoreapi.com/auth/login,306,0,0
1759767030696,285,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,900,310,7,7,https://fakestoreapi.com/auth/login,285,0,0
1759767030588,473,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,896,311,7,7,https://fakestoreapi.com/auth/login,473,0,159
1759767030766,295,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,896,311,7,7,https://fakestoreapi.com/auth/login,295,0,0
1759767030909,278,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,900,312,7,7,https://fakestoreapi.com/auth/login,278,0,0
1759767031007,301,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,899,310,7,7,https://fakestoreapi.com/auth/login,301,0,0
1759767031009,299,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,897,316,7,7,https://fakestoreapi.com/auth/login,299,0,0
1759767031046,294,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,896,311,7,7,https://fakestoreapi.com/auth/login,294,0,0
1759767031022,318,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,896,310,7,7,https://fakestoreapi.com/auth/login,318,0,0
1759767031061,300,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,900,312,7,7,https://fakestoreapi.com/auth/login,300,0,0
1759767031106,315,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,891,310,7,7,https://fakestoreapi.com/auth/login,315,0,0
1759767031259,277,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,901,316,7,7,https://fakestoreapi.com/auth/login,277,0,0
1759767031356,288,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,896,311,7,7,https://fakestoreapi.com/auth/login,288,0,0
1759767031360,288,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,892,310,7,7,https://fakestoreapi.com/auth/login,288,0,0
1759767031395,277,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,895,310,7,7,https://fakestoreapi.com/auth/login,277,0,0
1759767031374,301,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,904,312,7,7,https://fakestoreapi.com/auth/login,301,0,0
1759767031412,314,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,899,316,7,7,https://fakestoreapi.com/auth/login,314,0,0
1759767031456,301,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,894,310,7,7,https://fakestoreapi.com/auth/login,301,0,0
1759767031606,277,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,311,7,7,https://fakestoreapi.com/auth/login,277,0,0
1759767031718,288,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,891,310,7,7,https://fakestoreapi.com/auth/login,288,0,0
1759767031718,290,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,900,312,7,7,https://fakestoreapi.com/auth/login,290,0,0
1759767031723,305,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,896,310,7,7,https://fakestoreapi.com/auth/login,305,0,0
1759767031747,285,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,897,316,7,7,https://fakestoreapi.com/auth/login,285,0,0
1759767031760,304,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,894,311,7,7,https://fakestoreapi.com/auth/login,304,0,0
1759767031806,308,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,898,312,8,8,https://fakestoreapi.com/auth/login,308,0,0
1759767031955,280,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,891,310,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759767032055,292,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,896,310,8,8,https://fakestoreapi.com/auth/login,292,0,0
1759767032059,289,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,905,316,8,8,https://fakestoreapi.com/auth/login,289,0,0
1759767032096,283,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,892,312,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759767032073,310,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,898,311,8,8,https://fakestoreapi.com/auth/login,310,0,0
1759767032111,307,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,893,310,8,8,https://fakestoreapi.com/auth/login,307,0,0
1759767032208,312,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,892,310,8,8,https://fakestoreapi.com/auth/login,312,0,0
1759767032098,422,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,893,316,8,8,https://fakestoreapi.com/auth/login,422,0,132
1759767032359,289,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,896,311,8,8,https://fakestoreapi.com/auth/login,289,0,0
1759767032459,297,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,895,310,8,8,https://fakestoreapi.com/auth/login,297,0,0
1759767032456,300,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,900,312,8,8,https://fakestoreapi.com/auth/login,300,0,0
1759767032473,298,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,892,310,8,8,https://fakestoreapi.com/auth/login,298,0,0
1759767032500,282,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,899,316,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759767032521,282,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,899,310,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759767032522,298,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,900,311,8,8,https://fakestoreapi.com/auth/login,298,0,0
1759767032606,297,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,900,312,8,8,https://fakestoreapi.com/auth/login,297,0,0
1759767032757,283,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,901,316,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759767032856,286,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,898,311,8,8,https://fakestoreapi.com/auth/login,286,0,0
1759767032860,299,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,898,310,8,8,https://fakestoreapi.com/auth/login,299,0,0
1759767032896,292,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,893,310,8,8,https://fakestoreapi.com/auth/login,292,0,0
1759767032872,316,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,900,312,8,8,https://fakestoreapi.com/auth/login,316,0,0
1759767032910,299,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,896,310,8,8,https://fakestoreapi.com/auth/login,299,0,0
1759767032921,288,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,899,316,8,8,https://fakestoreapi.com/auth/login,288,0,0
1759767033006,295,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,890,311,8,8,https://fakestoreapi.com/auth/login,295,0,0
1759767033156,281,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,312,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759767033256,292,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,901,310,8,8,https://fakestoreapi.com/auth/login,292,0,0
1759767033258,295,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,905,316,8,8,https://fakestoreapi.com/auth/login,295,0,0
1759767033296,279,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,900,310,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759767033272,304,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,894,311,8,8,https://fakestoreapi.com/auth/login,304,0,0
1759767033311,295,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,893,310,9,9,https://fakestoreapi.com/auth/login,295,0,0
1759767033321,289,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,906,312,9,9,https://fakestoreapi.com/auth/login,289,0,0
1759767033406,297,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,901,316,9,9,https://fakestoreapi.com/auth/login,297,0,0
1759767033555,286,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,894,310,9,9,https://fakestoreapi.com/auth/login,286,0,0
1759767033659,295,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,896,312,9,9,https://fakestoreapi.com/auth/login,295,0,0
1759767033655,302,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,894,311,9,9,https://fakestoreapi.com/auth/login,302,0,0
1759767033698,284,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,893,310,9,9,https://fakestoreapi.com/auth/login,284,0,0
1759767033675,307,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,893,316,9,9,https://fakestoreapi.com/auth/login,307,0,0
1759767033596,450,POST login fakestore Api,201,Created,Thread Group 1-9,text,true,,895,310,9,9,https://fakestoreapi.com/auth/login,450,0,142
1759767033772,285,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,900,312,9,9,https://fakestoreapi.com/auth/login,285,0,0
1759767033762,300,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,894,311,9,9,https://fakestoreapi.com/auth/login,300,0,0
1759767033857,302,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,897,310,9,9,https://fakestoreapi.com/auth/login,302,0,0
1759767034008,282,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,903,316,9,9,https://fakestoreapi.com/auth/login,282,0,0
1759767034046,288,POST login fakestore Api,201,Created,Thread Group 1-9,text,true,,897,316,9,9,https://fakestoreapi.com/auth/login,288,0,0
1759767034110,290,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,898,310,9,9,https://fakestoreapi.com/auth/login,290,0,0
1759767034106,299,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,894,311,9,9,https://fakestoreapi.com/auth/login,299,0,0
1759767034147,279,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,900,312,9,9,https://fakestoreapi.com/auth/login,279,0,0
1759767034123,309,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,899,310,9,9,https://fakestoreapi.com/auth/login,309,0,0
1759767034223,307,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,896,310,9,9,https://fakestoreapi.com/auth/login,307,0,0
1759767034212,319,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,894,311,9,9,https://fakestoreapi.com/auth/login,319,0,0
1759767034308,307,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,896,312,9,9,https://fakestoreapi.com/auth/login,307,0,0
1759767034456,285,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,901,310,9,9,https://fakestoreapi.com/auth/login,285,0,0
1759767034497,291,POST login fakestore Api,201,Created,Thread Group 1-9,text,true,,903,316,9,9,https://fakestoreapi.com/auth/login,291,0,0
1759767034597,294,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,892,312,9,9,https://fakestoreapi.com/auth/login,294,0,0
1759767034575,304,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,895,310,9,9,https://fakestoreapi.com/auth/login,304,0,0
1759767034559,316,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,894,310,9,9,https://fakestoreapi.com/auth/login,316,0,0
1759767034555,320,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,890,311,9,9,https://fakestoreapi.com/auth/login,320,0,0
1759767034672,286,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,897,316,9,9,https://fakestoreapi.com/auth/login,286,0,0
1759767034662,308,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,894,310,9,9,https://fakestoreapi.com/auth/login,308,0,0
1759767034758,305,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,892,311,9,9,https://fakestoreapi.com/auth/login,305,0,0
1759767034907,288,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,312,10,10,https://fakestoreapi.com/auth/login,288,0,0
1759767034948,297,POST login fakestore Api,201,Created,Thread Group 1-9,text,true,,893,310,10,10,https://fakestoreapi.com/auth/login,297,0,0
1759767035007,292,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,898,312,10,10,https://fakestoreapi.com/auth/login,292,0,0
1759767035011,295,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,894,311,10,10,https://fakestoreapi.com/auth/login,295,0,0
1759767035024,307,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,898,310,10,10,https://fakestoreapi.com/auth/login,307,0,0
1759767035047,297,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,899,316,10,10,https://fakestoreapi.com/auth/login,297,0,0
1759767035112,299,POST login fakestore Api,201,Created,Thread Group 1-7,text,true,,897,316,10,10,https://fakestoreapi.com/auth/login,299,0,0
1759767035123,290,POST login fakestore Api,201,Created,Thread Group 1-8,text,true,,897,310,10,10,https://fakestoreapi.com/auth/login,290,0,0
1759767035206,302,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,896,310,10,10,https://fakestoreapi.com/auth/login,302,0,0
